Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",66.000000,-50.100000,180.000000,top
"C2","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",68.200000,-55.960000,-90.000000,top
"C3","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",91.900000,-58.800000,180.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",99.900000,-67.800000,-90.000000,top
"C5","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",92.750000,-53.500000,180.000000,top
"C6","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",54.500000,-84.000000,0.000000,top
"C7","22p","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",107.000000,-79.250000,0.000000,top
"C8","22p","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",101.250000,-79.250000,0.000000,top
"C9","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",87.800000,-59.000000,-90.000000,top
"C10","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",100.100000,-47.000000,90.000000,top
"C11","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",97.000000,-47.000000,90.000000,top
"C12","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",111.750000,-63.000000,-90.000000,top
"C13","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",106.500000,-47.437500,90.000000,top
"FB1","Ferrite_Bead","L_1206_3216Metric_Pad1.22x1.90mm_HandSolder",65.500000,-56.000000,-90.000000,top
"GPIO1","POWER-GPIO","PinSocket_1x07_P2.54mm_Vertical",110.000000,-84.975000,90.000000,top
"GPIO2","RIGHT-BOARD-CONN","PinSocket_1x15_P2.54mm_Vertical",86.000000,-40.000000,90.000000,top
"J1","USB_C_Receptacle_USB2.0","GCT_USB4105-GF-A",53.000000,-62.500000,-90.000000,top
"J2","SPI-CONN","PinSocket_1x04_P2.54mm_Vertical",88.000000,-85.000000,90.000000,top
"L1","10u","L_1206_3216Metric_Pad1.22x1.90mm_HandSolder",115.750000,-61.500000,0.000000,top
"PWR1","GREEN_POWER_LED","LED_D3.0mm_Clear",52.500000,-53.500000,90.000000,top
"R1","22","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",80.000000,-53.500000,180.000000,top
"R2","22","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",80.000000,-57.500000,180.000000,top
"R3","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",60.750000,-54.500000,-90.000000,top
"R4","100","R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal",80.880000,-71.100000,0.000000,top
"R5","5k1","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",63.500000,-60.250000,180.000000,top
"R6","5k1","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",63.500000,-65.000000,180.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",61.600000,-72.800000,-90.000000,top
"RESET1","RESET_BUTTON","SW_Tactile_SPST_Angled_PTS645Vx31-2LFS",52.862500,-79.775000,90.000000,top
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",102.500000,-57.500000,0.000000,top
"WIRELESS1","nrf24l01_SPI_CONN","PinSocket_2x04_P2.54mm_Vertical",69.000000,-83.000000,90.000000,top
"Y1","16MHz","Crystal_HC18-U_Vertical",104.550000,-75.000000,180.000000,top
